claimant_name,aadhar_number,phone_number,spouse_name,father_mother_Name,address,village,gram_panchayat,tehsil,district,ST_OTFD_Status,family_members_names,family_members_ages,habitation_area,cultivation_area,disputed_lands,patta_lease_grants,rehabilitation_land,displacement_details,forest_village_extent,other_traditional_rights,age_of_claimant,gender,marital_status,household_members,elderly_count_60plus,disability_in_household,primary_livelihood,annual_income,cultivable_land_ownership,house_type,electricity_connection,water_source,toilet_available,school_going_children,highest_education_level,shg_membership
Sunita Bai,9.25E+11,9982572312,Sunita Bai,Neha Naidu,"House 202, Gondwadi",Dindori Gaon,GP Ghughri,Ghughri,Dindori,ST,Meena Gaikwad,56,0.94,3.93,No,Yes,No,Yes,No,No,26,Other,Married,4,2,No,Wage Labour,122621,No,Pucca,Yes,None,Yes,No,Secondary,No
Lakshmi Gond,1.89E+11,6572933992,Lakshmi Bai,Meena Gaikwad,"House 221, Bhilapur",Dindori Gaon,GP Jobat,Ghughri,Barwani,ST,Pooja Das,47,0.16,2.09,Yes,Yes,Yes,No,No,Yes,63,Female,Widowed,6,2,Yes,Other,51496,No,Kutcha,Yes,None,Yes,No,Primary,Yes
Lakshmi Nayak,9.75E+11,6389061123,Arjun Gond,Amit Gaikwad,"House 262, Barwani Tola",Korku Pada,GP Pati,Bajag,Alirajpur,ST,Lakshmi Gond,35,0.39,2.23,No,Yes,Yes,Yes,No,No,48,Other,Widowed,4,1,No,Agriculture,117124,Yes,Semi-Pucca,Yes,Tap,Yes,No,Graduation,Yes
Vikas Bai,1.90E+11,9779165084,Ramesh Verma,Meena Sahu,"House 39, Alirajpur Falia",Korku Pada,GP Pati,Pati,Barwani,ST,Arjun Verma,78,0.26,1.63,Yes,Yes,Yes,Yes,No,Yes,72,Male,Married,3,1,Yes,Wage Labour,62009,Yes,Semi-Pucca,No,Stream,No,No,Primary,No
Anita Biswas,3.08E+11,6487167102,Kavita Kumar,Mahesh Singh,"House 11, Korku Pada",Gondwadi,GP Pati,Pati,Dindori,ST,Lakshmi Yadav,82,0.55,1.42,Yes,No,Yes,No,No,No,87,Female,Married,4,1,Yes,Wage Labour,120592,Yes,Kutcha,No,Handpump,Yes,No,Upper Primary,No
Ravi Rathore,3.51E+11,8193496887,Arjun Nayak,Meena Gond,"House 112, Alirajpur Falia",Baiga Chak,GP Bajag,Pali,Sheopur,ST,Vikas Biswas,19,0.74,3.94,No,Yes,No,Yes,No,Yes,75,Male,Single,7,1,No,Other,125810,Yes,Pucca,Yes,Handpump,No,Yes,Higher Secondary,Yes
Neha Yadav,8.26E+11,6142481925,Suresh Das,Sunita Biswas,"House 108, Jhabua Kheda",Barwani Tola,GP Ghughri,Jobat,Alirajpur,ST,Kavita Naidu,83,0.82,0.16,Yes,No,No,Yes,Yes,No,32,Female,Widowed,1,2,No,NTFP,149192,Yes,Kutcha,Yes,None,No,No,None,No
Meena Rathore,9.90E+11,6353448064,Sunita Nayak,Mahesh Naidu,"House 94, Sheopur Pada",Sheopur Pada,GP Jobat,Bajag,Barwani,ST,Arjun Gaikwad,51,0.52,1.64,No,Yes,Yes,No,No,No,57,Male,Married,3,0,No,Other,115447,No,Pucca,Yes,Stream,No,Yes,Primary,No
Mahesh Bhil,9.12E+11,6448856574,Neha Bhil,Ramesh Rathore,"House 84, Gondwadi",Gondwadi,GP Ghughri,Jobat,Barwani,OTFD,Kavita Bhil,20,0.86,0.61,No,Yes,Yes,Yes,Yes,Yes,27,Female,Widowed,3,0,No,Agriculture,38316,Yes,Pucca,Yes,Stream,Yes,Yes,Upper Primary,No
Vikas Gaikwad,8.50E+11,8648809894,Sunita Naidu,Vikas Das,"House 58, Barwani Tola",Baiga Chak,GP Ghughri,Ghughri,Barwani,ST,Pooja Biswas,29,0.79,2.91,Yes,No,Yes,Yes,No,Yes,18,Male,Married,9,0,No,Other,113253,Yes,Pucca,Yes,Stream,No,Yes,Graduation,No
Ravi Singh,3.16E+11,6899451264,Suresh Rathore,Suresh Gond,"House 293, Bhilapur",Sheopur Pada,GP Niwas,Pati,Sheopur,ST,Meena Kumar,72,0.17,0.78,No,Yes,Yes,Yes,No,No,89,Other,Widowed,6,1,Yes,Wage Labour,137011,No,Semi-Pucca,Yes,Tap,Yes,No,Higher Secondary,No
Amit Rathore,3.36E+11,6039126898,Ramesh Sahu,Lakshmi Gond,"House 16, Jhabua Kheda",Dindori Gaon,GP Niwas,Bajag,Dindori,ST,Arjun Singh,89,0.25,3.54,Yes,No,No,No,Yes,Yes,41,Female,Married,1,2,No,Other,122511,No,Semi-Pucca,Yes,Handpump,No,Yes,None,No
Arjun Kumar,3.73E+11,9332989886,Pooja Nayak,Arjun Sahu,"House 93, Korku Pada",Mandla Pur,GP Niwas,Jobat,Dindori,ST,Meena Das,81,0.68,1.5,Yes,Yes,Yes,Yes,No,Yes,81,Female,Separated,2,0,No,Other,98304,No,Kutcha,No,None,No,No,Secondary,No
Suresh Verma,6.62E+11,8868437816,Amit Bai,Sunita Yadav,"House 165, Alirajpur Falia",Mandla Pur,GP Pushparajgarh,Pati,Jhabua,ST,Mahesh Sahu,65,0.98,3.67,No,No,No,No,Yes,Yes,65,Female,Separated,7,2,No,Other,66576,Yes,Semi-Pucca,No,Handpump,No,Yes,Secondary,Yes
Suresh Gaikwad,3.18E+11,8794241218,Ravi Rathore,Pooja Rathore,"House 215, Bhilapur",Korku Pada,GP Pati,Bajag,Barwani,OTFD,Lakshmi Gaikwad,38,0.38,3.95,No,No,No,No,Yes,No,67,Other,Widowed,2,2,No,NTFP,136827,Yes,Pucca,No,Stream,No,Yes,Primary,Yes
Neha Gaikwad,1.88E+11,9343859776,Lakshmi Singh,Anita Nayak,"House 144, Korku Pada",Jhabua Kheda,GP Ghughri,Bajag,Sheopur,ST,Kavita Yadav,49,0.24,3.08,No,Yes,No,Yes,Yes,No,20,Male,Single,9,0,No,Other,29517,No,Pucca,Yes,None,No,No,Primary,Yes
Pooja Das,8.13E+11,6913216320,Lakshmi Gond,Amit Yadav,"House 274, Barwani Tola",Bhilapur,GP Pati,Sendhwa,Dindori,ST,Pooja Yadav,28,0.87,2.49,Yes,No,Yes,Yes,Yes,Yes,87,Female,Widowed,2,2,Yes,Wage Labour,60697,Yes,Kutcha,No,Stream,Yes,Yes,Upper Primary,Yes
Meena Yadav,6.67E+11,9333493350,Neha Bai,Mahesh Nayak,"House 138, Mandla Pur",Jhabua Kheda,GP Niwas,Bajag,Dindori,ST,Suresh Verma,33,0.21,0.6,Yes,Yes,Yes,No,No,Yes,81,Male,Single,4,1,No,Agriculture,85113,Yes,Pucca,Yes,Handpump,Yes,No,None,No
Lakshmi Sahu,3.56E+11,7609542932,Amit Bhil,Ramesh Naidu,"House 204, Bhilapur",Gondwadi,GP Bajag,Pati,Alirajpur,ST,Meena Gond,13,0.7,3.73,No,No,Yes,Yes,No,No,42,Female,Widowed,2,2,Yes,Wage Labour,55827,Yes,Kutcha,Yes,Tap,Yes,Yes,Primary,Yes
Sunita Kumar,1.34E+11,8298124268,Lakshmi Sahu,Suresh Yadav,"House 210, Baiga Chak",Alirajpur Falia,GP Pati,Pali,Jhabua,OTFD,Suresh Gaikwad,88,0.04,3.11,Yes,No,Yes,Yes,Yes,No,73,Male,Single,8,1,No,NTFP,25982,Yes,Semi-Pucca,Yes,Handpump,Yes,No,Graduation,No
Vikas Kumar,3.24E+11,6033529501,Mahesh Yadav,Ravi Kumar,"House 19, Sheopur Pada",Dindori Gaon,GP Jobat,Bajag,Anuppur,ST,Amit Gond,44,0.03,1.15,No,Yes,No,No,Yes,Yes,58,Female,Separated,1,2,No,NTFP,72454,No,Pucca,Yes,Stream,No,No,Primary,No
Sunita Das,4.58E+11,9425189087,Pooja Das,Pooja Das,"House 294, Barwani Tola",Jhabua Kheda,GP Pushparajgarh,Jobat,Anuppur,ST,Kavita Verma,86,0.46,1.87,No,No,Yes,Yes,Yes,No,76,Other,Separated,4,0,No,Agriculture,89011,No,Kutcha,Yes,Handpump,Yes,No,Secondary,No
Neha Gond,5.75E+11,8979349280,Sunita Das,Neha Bhil,"House 293, Sheopur Pada",Jhabua Kheda,GP Bajag,Sendhwa,Mandla,OTFD,Ravi Das,52,0.66,0.27,Yes,Yes,Yes,Yes,Yes,No,50,Other,Separated,8,1,Yes,NTFP,72791,Yes,Kutcha,Yes,Stream,Yes,Yes,None,No
Pooja Naidu,9.53E+11,8558973871,Suresh Bhil,Arjun Bai,"House 162, Mandla Pur",Dindori Gaon,GP Niwas,Sendhwa,Jhabua,ST,Meena Bai,77,0.15,2.64,Yes,Yes,Yes,No,No,Yes,29,Male,Single,2,2,Yes,Agriculture,36888,Yes,Kutcha,No,Handpump,No,Yes,Upper Primary,Yes
Arjun Biswas,8.48E+11,7385849109,Amit Bhil,Ravi Kumar,"House 130, Alirajpur Falia",Mandla Pur,GP Niwas,Pati,Sheopur,ST,Meena Kumar,76,0.77,0.5,No,Yes,No,Yes,Yes,No,18,Male,Widowed,4,2,Yes,Agriculture,144559,Yes,Semi-Pucca,Yes,Stream,No,Yes,None,Yes
Amit Bhil,9.82E+11,7350965213,Neha Kumar,Pooja Gaikwad,"House 44, Mandla Pur",Barwani Tola,GP Pati,Pali,Dindori,ST,Vikas Singh,41,0.14,2.61,Yes,Yes,No,No,No,Yes,85,Male,Single,1,0,Yes,NTFP,134781,Yes,Kutcha,Yes,Handpump,No,No,Primary,Yes
Suresh Yadav,8.01E+11,8454955701,Mahesh Nayak,Neha Rathore,"House 83, Mandla Pur",Baiga Chak,GP Pati,Jobat,Barwani,ST,Amit Yadav,49,0.54,2.69,Yes,No,Yes,No,Yes,No,86,Other,Married,3,0,No,NTFP,125884,No,Pucca,Yes,Stream,No,Yes,Primary,Yes
Kavita Bai,5.46E+11,8409949549,Ravi Yadav,Mahesh Rathore,"House 124, Bhilapur",Baiga Chak,GP Bajag,Jobat,Mandla,ST,Ramesh Naidu,7,0.32,1.3,Yes,No,Yes,No,Yes,Yes,76,Other,Married,9,1,No,Wage Labour,52870,Yes,Kutcha,Yes,Tap,Yes,No,Primary,No
Meena Das,1.06E+11,8291401942,Amit Bai,Meena Nayak,"House 27, Alirajpur Falia",Jhabua Kheda,GP Jobat,Bajag,Umaria,ST,Amit Yadav,36,0.75,3.79,No,No,No,No,Yes,Yes,47,Female,Separated,5,2,No,Wage Labour,75294,No,Kutcha,Yes,Tap,Yes,No,None,No
Suresh Naidu,6.72E+11,7286199734,Amit Biswas,Meena Kumar,"House 7, Mandla Pur",Mandla Pur,GP Bajag,Bajag,Mandla,ST,Ramesh Das,26,0.81,3.12,No,No,No,No,No,Yes,50,Other,Single,6,2,No,Wage Labour,95092,Yes,Pucca,Yes,Stream,No,No,Primary,No
Amit Naidu,5.53E+11,9536703915,Meena Biswas,Kavita Das,"House 199, Korku Pada",Alirajpur Falia,GP Pati,Jobat,Alirajpur,ST,Kavita Gaikwad,27,0.08,1.99,No,Yes,Yes,No,No,No,57,Male,Married,5,2,Yes,Wage Labour,56054,No,Semi-Pucca,Yes,Tap,No,No,Higher Secondary,Yes
Suresh Verma,3.28E+11,8717547728,Anita Sahu,Ravi Sahu,"House 112, Barwani Tola",Mandla Pur,GP Bajag,Pali,Sheopur,OTFD,Meena Gond,24,0.2,3.67,Yes,No,Yes,Yes,Yes,No,39,Other,Single,1,0,Yes,Other,57625,Yes,Semi-Pucca,Yes,Handpump,Yes,No,Higher Secondary,Yes
Ravi Sahu,9.20E+11,7765414388,Suresh Nayak,Sunita Verma,"House 89, Jhabua Kheda",Sheopur Pada,GP Pushparajgarh,Ghughri,Alirajpur,ST,Mahesh Naidu,71,0.89,3.42,Yes,No,No,No,Yes,No,42,Female,Married,4,1,Yes,Agriculture,70229,Yes,Kutcha,Yes,None,Yes,Yes,Primary,Yes
Kavita Naidu,7.93E+11,7039762894,Meena Yadav,Meena Sahu,"House 128, Dindori Gaon",Barwani Tola,GP Niwas,Niwas,Jhabua,ST,Ramesh Nayak,81,0.42,2.77,No,No,Yes,Yes,No,No,21,Female,Single,4,0,No,NTFP,133202,Yes,Semi-Pucca,No,Stream,Yes,No,Secondary,Yes
Arjun Singh,9.16E+11,9278737993,Arjun Rathore,Ravi Bhil,"House 230, Mandla Pur",Gondwadi,GP Ghughri,Niwas,Sheopur,ST,Meena Singh,33,0.48,0.61,Yes,Yes,No,Yes,Yes,No,29,Male,Married,5,1,Yes,Agriculture,62069,Yes,Semi-Pucca,Yes,Tap,Yes,No,None,No
Arjun Gaikwad,1.59E+11,7875946722,Kavita Kumar,Kavita Singh,"House 18, Bhilapur",Mandla Pur,GP Ghughri,Bajag,Barwani,ST,Amit Gaikwad,18,0.18,1.99,Yes,No,Yes,Yes,Yes,Yes,21,Male,Single,3,0,No,Agriculture,26641,Yes,Semi-Pucca,No,None,No,No,Upper Primary,No
Amit Gond,3.03E+11,6428478838,Amit Sahu,Sunita Yadav,"House 289, Dindori Gaon",Alirajpur Falia,GP Niwas,Ghughri,Jhabua,ST,Ramesh Naidu,5,0.99,3.46,No,No,Yes,No,Yes,Yes,40,Other,Single,4,1,No,NTFP,71828,No,Semi-Pucca,Yes,None,Yes,No,None,Yes
Ravi Bhil,9.57E+11,9180221939,Suresh Sahu,Mahesh Kumar,"House 161, Barwani Tola",Baiga Chak,GP Niwas,Ghughri,Alirajpur,ST,Neha Biswas,1,0.92,2.44,Yes,No,Yes,No,No,Yes,87,Male,Widowed,4,2,No,Wage Labour,93094,Yes,Kutcha,Yes,None,No,Yes,None,Yes
Kavita Gond,2.71E+11,9336465331,Suresh Sahu,Kavita Nayak,"House 281, Gondwadi",Gondwadi,GP Niwas,Ghughri,Dindori,ST,Vikas Nayak,71,0.01,2.18,Yes,Yes,Yes,No,Yes,No,75,Other,Separated,3,0,No,Wage Labour,105695,No,Pucca,No,Stream,Yes,No,Primary,Yes
Suresh Biswas,9.92E+11,7917608028,Amit Kumar,Kavita Nayak,"House 166, Baiga Chak",Dindori Gaon,GP Niwas,Pali,Barwani,ST,Sunita Bhil,3,0.56,3.82,Yes,No,No,Yes,No,No,52,Male,Separated,8,2,Yes,Agriculture,79917,Yes,Kutcha,Yes,Stream,Yes,No,Graduation,No
Kavita Singh,4.50E+11,7595223499,Sunita Biswas,Pooja Bai,"House 260, Gondwadi",Barwani Tola,GP Jobat,Sendhwa,Sheopur,ST,Sunita Gond,36,0.87,0.07,No,No,No,Yes,Yes,No,75,Male,Separated,7,2,Yes,Agriculture,103880,Yes,Pucca,Yes,None,No,No,Higher Secondary,No
Sunita Bhil,3.26E+11,6294237760,Amit Biswas,Ramesh Verma,"House 190, Bhilapur",Gondwadi,GP Pushparajgarh,Bajag,Anuppur,ST,Sunita Bhil,35,0.44,0.05,No,No,No,No,No,Yes,23,Male,Married,6,0,No,Wage Labour,120159,Yes,Pucca,No,None,No,Yes,Graduation,Yes
Amit Singh,7.61E+11,6169179456,Anita Das,Amit Rathore,"House 266, Gondwadi",Dindori Gaon,GP Bajag,Niwas,Jhabua,ST,Meena Naidu,51,0.44,3.57,No,Yes,Yes,Yes,Yes,No,24,Female,Widowed,6,0,Yes,Wage Labour,124320,No,Kutcha,Yes,Handpump,No,Yes,Upper Primary,No
Anita Verma,6.29E+11,6724147209,Pooja Yadav,Arjun Sahu,"House 291, Sheopur Pada",Gondwadi,GP Bajag,Niwas,Sheopur,OTFD,Amit Kumar,12,0.39,0.15,Yes,Yes,Yes,No,No,No,38,Male,Single,7,1,Yes,Agriculture,116465,Yes,Pucca,No,Tap,No,No,None,Yes
Ravi Gond,2.73E+11,7560130449,Pooja Verma,Sunita Gond,"House 279, Jhabua Kheda",Korku Pada,GP Niwas,Pati,Dindori,ST,Suresh Das,15,0.04,1.33,Yes,Yes,Yes,No,No,Yes,32,Male,Single,2,2,No,Other,149543,Yes,Pucca,Yes,Tap,Yes,No,Upper Primary,Yes
Lakshmi Nayak,1.61E+11,9398597934,Neha Kumar,Lakshmi Yadav,"House 217, Baiga Chak",Barwani Tola,GP Pati,Ghughri,Mandla,ST,Pooja Verma,4,0.79,3.7,Yes,Yes,Yes,No,Yes,No,83,Male,Single,3,0,No,Agriculture,137426,Yes,Semi-Pucca,Yes,Stream,Yes,No,Upper Primary,Yes
Amit Gond,3.75E+11,8622690625,Lakshmi Sahu,Kavita Bai,"House 207, Mandla Pur",Baiga Chak,GP Pushparajgarh,Bajag,Anuppur,OTFD,Amit Bhil,56,0.46,2.76,Yes,Yes,Yes,Yes,No,Yes,84,Male,Married,8,0,Yes,NTFP,60651,No,Kutcha,No,Stream,Yes,Yes,Secondary,No
Arjun Naidu,4.02E+11,8784741168,Meena Gond,Anita Nayak,"House 153, Baiga Chak",Sheopur Pada,GP Pati,Ghughri,Jhabua,ST,Sunita Verma,16,0.54,2.59,Yes,Yes,No,No,No,No,29,Male,Single,3,0,No,Agriculture,49829,Yes,Kutcha,Yes,Stream,Yes,Yes,Higher Secondary,No
Meena Rathore,4.75E+11,6512175559,Amit Biswas,Pooja Rathore,"House 181, Baiga Chak",Jhabua Kheda,GP Pati,Sendhwa,Dindori,OTFD,Anita Verma,6,0.26,2.63,Yes,Yes,Yes,No,No,No,66,Other,Separated,3,2,No,Other,128305,Yes,Semi-Pucca,Yes,Handpump,No,Yes,Secondary,Yes
Ramesh Bai,6.94E+11,8447381781,Meena Gond,Suresh Gond,"House 212, Mandla Pur",Barwani Tola,GP Niwas,Ghughri,Jhabua,OTFD,Sunita Das,63,0.79,1.27,Yes,No,Yes,No,No,No,79,Female,Separated,5,0,Yes,Wage Labour,139016,No,Kutcha,Yes,Tap,No,No,Graduation,No
Neha Yadav,4.47E+11,9968697941,Pooja Rathore,Mahesh Kumar,"House 273, Jhabua Kheda",Jhabua Kheda,GP Ghughri,Bajag,Anuppur,ST,Neha Das,23,0.8,2.12,Yes,Yes,Yes,Yes,Yes,Yes,50,Other,Separated,8,0,No,Other,64840,Yes,Pucca,No,None,No,Yes,Higher Secondary,No
Meena Gaikwad,7.99E+11,6719930905,Anita Yadav,Amit Naidu,"House 203, Jhabua Kheda",Dindori Gaon,GP Pushparajgarh,Ghughri,Umaria,ST,Ravi Kumar,77,0.56,2.52,Yes,No,Yes,Yes,No,No,78,Other,Separated,9,1,Yes,Other,32356,Yes,Kutcha,Yes,None,No,No,Primary,No
Vikas Das,2.40E+11,6333600473,Ravi Rathore,Kavita Biswas,"House 205, Gondwadi",Bhilapur,GP Bajag,Jobat,Jhabua,ST,Kavita Rathore,44,0.91,1.22,Yes,Yes,Yes,Yes,Yes,Yes,30,Male,Married,5,1,No,Wage Labour,141220,Yes,Pucca,Yes,Stream,No,Yes,Primary,No
Suresh Bai,1.21E+11,9598140808,Vikas Biswas,Lakshmi Bhil,"House 153, Sheopur Pada",Barwani Tola,GP Jobat,Jobat,Barwani,ST,Mahesh Kumar,1,0.12,3.18,Yes,Yes,No,Yes,No,No,30,Other,Married,6,2,No,Other,55919,Yes,Semi-Pucca,Yes,Handpump,No,No,Primary,No
Pooja Bhil,2.76E+11,9994348436,Ravi Sahu,Anita Das,"House 170, Bhilapur",Bhilapur,GP Bajag,Niwas,Anuppur,OTFD,Neha Biswas,57,0.79,1.29,Yes,No,No,Yes,No,No,76,Male,Separated,3,2,No,NTFP,113563,Yes,Kutcha,Yes,Stream,Yes,Yes,Upper Primary,No
Arjun Bai,6.79E+11,9037132531,Kavita Singh,Amit Naidu,"House 241, Baiga Chak",Bhilapur,GP Jobat,Pati,Sheopur,OTFD,Meena Kumar,76,0.56,0.29,Yes,Yes,No,Yes,No,No,45,Other,Separated,3,0,No,Other,40545,No,Kutcha,Yes,Tap,Yes,No,Upper Primary,Yes
Kavita Sahu,4.07E+11,6175608766,Arjun Nayak,Lakshmi Verma,"House 287, Jhabua Kheda",Barwani Tola,GP Niwas,Sendhwa,Mandla,ST,Anita Rathore,27,0.24,0.81,No,Yes,Yes,Yes,No,No,41,Other,Single,2,0,No,NTFP,120962,Yes,Pucca,Yes,None,No,No,Higher Secondary,No
Vikas Gond,7.92E+11,7416103018,Anita Nayak,Pooja Biswas,"House 245, Barwani Tola",Dindori Gaon,GP Ghughri,Pali,Mandla,ST,Ramesh Verma,25,0.14,1.63,No,Yes,No,No,Yes,Yes,47,Other,Widowed,2,2,Yes,Wage Labour,71473,No,Kutcha,Yes,Tap,No,No,None,Yes
Anita Singh,3.03E+11,6335144325,Ravi Gond,Ramesh Gaikwad,"House 80, Alirajpur Falia",Jhabua Kheda,GP Jobat,Bajag,Barwani,ST,Mahesh Naidu,86,0.31,3.63,No,Yes,Yes,No,No,Yes,21,Male,Married,6,2,No,NTFP,69956,Yes,Pucca,Yes,Tap,No,Yes,Higher Secondary,No
Ravi Singh,7.47E+11,7678259959,Ravi Das,Neha Gaikwad,"House 92, Jhabua Kheda",Barwani Tola,GP Pati,Niwas,Mandla,ST,Mahesh Gond,62,0.86,1.66,No,No,Yes,Yes,Yes,Yes,30,Female,Married,1,1,No,Agriculture,40994,Yes,Semi-Pucca,Yes,Tap,No,Yes,Secondary,No
Amit Bhil,5.23E+11,9799862797,Neha Nayak,Sunita Gaikwad,"House 149, Bhilapur",Sheopur Pada,GP Pushparajgarh,Ghughri,Dindori,ST,Suresh Sahu,18,0.79,0.36,Yes,Yes,No,Yes,Yes,No,18,Female,Single,8,0,No,Other,88960,No,Semi-Pucca,Yes,Tap,Yes,No,Secondary,Yes
Sunita Nayak,5.44E+11,9181751968,Amit Gaikwad,Arjun Sahu,"House 30, Sheopur Pada",Bhilapur,GP Bajag,Ghughri,Anuppur,OTFD,Sunita Biswas,80,0.65,0.79,No,Yes,Yes,Yes,No,No,61,Female,Separated,9,0,No,Other,149913,Yes,Semi-Pucca,Yes,Stream,Yes,No,Secondary,Yes
Ravi Bhil,9.26E+11,9502770246,Ravi Gond,Meena Gaikwad,"House 123, Barwani Tola",Dindori Gaon,GP Bajag,Niwas,Mandla,ST,Ravi Singh,30,0.1,2.18,No,No,No,No,Yes,Yes,66,Female,Widowed,2,1,Yes,NTFP,72393,Yes,Kutcha,Yes,Tap,Yes,Yes,Secondary,No
Pooja Verma,5.34E+11,8583298711,Sunita Nayak,Pooja Biswas,"House 29, Alirajpur Falia",Mandla Pur,GP Jobat,Sendhwa,Umaria,ST,Meena Verma,30,0.96,0.71,No,No,No,No,No,Yes,41,Male,Married,6,0,No,Other,80776,No,Pucca,Yes,Tap,No,Yes,Upper Primary,Yes
Pooja Verma,9.84E+11,8654008264,Ravi Gond,Ravi Bhil,"House 259, Korku Pada",Mandla Pur,GP Jobat,Ghughri,Sheopur,ST,Lakshmi Yadav,84,0.31,0.26,Yes,Yes,Yes,Yes,No,Yes,51,Other,Married,6,1,No,Agriculture,77812,No,Kutcha,No,Tap,No,No,Secondary,No
Arjun Bai,1.03E+11,8884684362,Anita Kumar,Meena Yadav,"House 186, Barwani Tola",Jhabua Kheda,GP Pati,Jobat,Barwani,ST,Amit Singh,47,0.61,2.86,No,Yes,Yes,No,Yes,Yes,56,Male,Separated,7,1,No,Other,116242,Yes,Semi-Pucca,No,Stream,Yes,Yes,Graduation,No
